24-07-19 01:30:12.937 : Writing to ./results/denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:12.938 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:17.649 : iteration: 1, psnr: 5.836828698239826, psnr_best: 5.836828698239826
24-07-19 01:30:17.687 : iteration: 2, psnr: 5.838187636188494, psnr_best: 5.838187636188494
24-07-19 01:30:17.719 : iteration: 3, psnr: 5.839164096638013, psnr_best: 5.839164096638013
24-07-19 01:30:17.754 : iteration: 4, psnr: 5.845538876860553, psnr_best: 5.845538876860553
24-07-19 01:30:17.789 : iteration: 5, psnr: 5.850092437441896, psnr_best: 5.850092437441896
24-07-19 01:30:17.818 : iteration: 6, psnr: 5.841317999963556, psnr_best: 5.850092437441896
24-07-19 01:30:17.845 : iteration: 7, psnr: 5.844090851925154, psnr_best: 5.850092437441896
24-07-19 01:30:17.879 : iteration: 8, psnr: 5.848016521227854, psnr_best: 5.850092437441896
24-07-19 01:30:17.910 : iteration: 9, psnr: 5.843569463679071, psnr_best: 5.850092437441896
24-07-19 01:30:17.941 : iteration: 10, psnr: 5.853429130296572, psnr_best: 5.853429130296572
24-07-19 01:30:17.973 : iteration: 11, psnr: 5.84938781237825, psnr_best: 5.853429130296572
24-07-19 01:30:18.001 : iteration: 12, psnr: 5.849617159764817, psnr_best: 5.853429130296572
24-07-19 01:30:18.029 : iteration: 13, psnr: 5.855594781470481, psnr_best: 5.855594781470481
24-07-19 01:30:18.056 : iteration: 14, psnr: 5.854183369945592, psnr_best: 5.855594781470481
24-07-19 01:30:18.083 : iteration: 15, psnr: 5.850211151932704, psnr_best: 5.855594781470481
24-07-19 01:30:18.111 : iteration: 16, psnr: 5.8432019529405155, psnr_best: 5.855594781470481
24-07-19 01:30:18.143 : iteration: 17, psnr: 5.852296464521256, psnr_best: 5.855594781470481
24-07-19 01:30:18.177 : iteration: 18, psnr: 5.848558285041399, psnr_best: 5.855594781470481
24-07-19 01:30:18.216 : iteration: 19, psnr: 5.852704129576129, psnr_best: 5.855594781470481
24-07-19 01:30:18.252 : iteration: 20, psnr: 5.8577864691088255, psnr_best: 5.8577864691088255
24-07-19 01:30:18.284 : iteration: 21, psnr: 5.8542783539916705, psnr_best: 5.8577864691088255
24-07-19 01:30:18.317 : iteration: 22, psnr: 5.853021384318138, psnr_best: 5.8577864691088255
24-07-19 01:30:18.346 : iteration: 23, psnr: 5.856691036458749, psnr_best: 5.8577864691088255
24-07-19 01:30:18.380 : iteration: 24, psnr: 5.861314009080404, psnr_best: 5.861314009080404
24-07-19 01:30:18.409 : iteration: 25, psnr: 5.858645064145525, psnr_best: 5.861314009080404
24-07-19 01:30:18.439 : iteration: 26, psnr: 5.858360996536088, psnr_best: 5.861314009080404
24-07-19 01:30:18.470 : iteration: 27, psnr: 5.854238564370077, psnr_best: 5.861314009080404
24-07-19 01:30:18.500 : iteration: 28, psnr: 5.858063187768343, psnr_best: 5.861314009080404
24-07-19 01:30:18.529 : iteration: 29, psnr: 5.85965336732498, psnr_best: 5.861314009080404
24-07-19 01:30:18.559 : iteration: 30, psnr: 5.863336671749116, psnr_best: 5.863336671749116
24-07-19 01:30:18.586 : iteration: 31, psnr: 5.8668835356962825, psnr_best: 5.8668835356962825
24-07-19 01:30:18.612 : iteration: 32, psnr: 5.863379043242148, psnr_best: 5.8668835356962825
24-07-19 01:30:18.641 : iteration: 33, psnr: 5.863525424949032, psnr_best: 5.8668835356962825
24-07-19 01:30:18.668 : iteration: 34, psnr: 5.861990381991127, psnr_best: 5.8668835356962825
24-07-19 01:30:18.693 : iteration: 35, psnr: 5.8663131932730455, psnr_best: 5.8668835356962825
24-07-19 01:30:18.720 : iteration: 36, psnr: 5.8689542800071575, psnr_best: 5.8689542800071575
24-07-19 01:30:18.745 : iteration: 37, psnr: 5.863937102592784, psnr_best: 5.8689542800071575
24-07-19 01:30:18.770 : iteration: 38, psnr: 5.868298957348758, psnr_best: 5.8689542800071575
24-07-19 01:30:18.797 : iteration: 39, psnr: 5.87146968840584, psnr_best: 5.87146968840584
24-07-19 01:30:18.826 : iteration: 40, psnr: 5.86731778312487, psnr_best: 5.87146968840584
24-07-19 01:30:18.853 : iteration: 41, psnr: 5.875002780991773, psnr_best: 5.875002780991773
24-07-19 01:30:18.876 : iteration: 42, psnr: 5.86963352001891, psnr_best: 5.875002780991773
24-07-19 01:30:18.901 : iteration: 43, psnr: 5.870581783732364, psnr_best: 5.875002780991773
24-07-19 01:30:18.926 : iteration: 44, psnr: 5.871562890213626, psnr_best: 5.875002780991773
24-07-19 01:30:18.951 : iteration: 45, psnr: 5.871411965928404, psnr_best: 5.875002780991773
24-07-19 01:30:18.976 : iteration: 46, psnr: 5.874351615396572, psnr_best: 5.875002780991773
24-07-19 01:30:19.005 : iteration: 47, psnr: 5.874204070981946, psnr_best: 5.875002780991773
24-07-19 01:30:19.030 : iteration: 48, psnr: 5.8735075839185535, psnr_best: 5.875002780991773
24-07-19 01:30:19.063 : iteration: 49, psnr: 5.875514052458477, psnr_best: 5.875514052458477
24-07-19 01:30:19.098 : iteration: 50, psnr: 5.878100427427658, psnr_best: 5.878100427427658
24-07-19 01:30:19.127 : iteration: 51, psnr: 5.874833473583299, psnr_best: 5.878100427427658
24-07-19 01:30:19.160 : iteration: 52, psnr: 5.875473530321923, psnr_best: 5.878100427427658
24-07-19 01:30:19.198 : iteration: 53, psnr: 5.873044216455219, psnr_best: 5.878100427427658
24-07-19 01:30:19.235 : iteration: 54, psnr: 5.879822564438465, psnr_best: 5.879822564438465
24-07-19 01:30:19.269 : iteration: 55, psnr: 5.879922256968003, psnr_best: 5.879922256968003
24-07-19 01:30:19.307 : iteration: 56, psnr: 5.878082418535531, psnr_best: 5.879922256968003
24-07-19 01:30:19.350 : iteration: 57, psnr: 5.88237490843634, psnr_best: 5.88237490843634
24-07-19 01:30:19.389 : iteration: 58, psnr: 5.882878414162958, psnr_best: 5.882878414162958
24-07-19 01:30:19.427 : iteration: 59, psnr: 5.879825699502199, psnr_best: 5.882878414162958
24-07-19 01:30:19.472 : iteration: 60, psnr: 5.88402936145199, psnr_best: 5.88402936145199
24-07-19 01:30:19.521 : iteration: 61, psnr: 5.8889856629227655, psnr_best: 5.8889856629227655
24-07-19 01:30:19.562 : iteration: 62, psnr: 5.879147761636361, psnr_best: 5.8889856629227655
24-07-19 01:30:19.606 : iteration: 63, psnr: 5.884299390004318, psnr_best: 5.8889856629227655
24-07-19 01:30:19.652 : iteration: 64, psnr: 5.881821610888025, psnr_best: 5.8889856629227655
24-07-19 01:30:19.702 : iteration: 65, psnr: 5.888770991968348, psnr_best: 5.8889856629227655
24-07-19 01:30:19.750 : iteration: 66, psnr: 5.884768807197569, psnr_best: 5.8889856629227655
24-07-19 01:30:19.793 : iteration: 67, psnr: 5.885974830123941, psnr_best: 5.8889856629227655
24-07-19 01:30:19.840 : iteration: 68, psnr: 5.894759512356067, psnr_best: 5.894759512356067
24-07-19 01:30:19.886 : iteration: 69, psnr: 5.892634060516244, psnr_best: 5.894759512356067
24-07-19 01:30:19.927 : iteration: 70, psnr: 5.8884407996823125, psnr_best: 5.894759512356067
24-07-19 01:30:19.970 : iteration: 71, psnr: 5.890713305622361, psnr_best: 5.894759512356067
24-07-19 01:30:19.996 : iteration: 72, psnr: 5.888544007066139, psnr_best: 5.894759512356067
24-07-19 01:30:20.027 : iteration: 73, psnr: 5.891864523946874, psnr_best: 5.894759512356067
24-07-19 01:30:20.059 : iteration: 74, psnr: 5.8885145567169666, psnr_best: 5.894759512356067
24-07-19 01:30:20.090 : iteration: 75, psnr: 5.892019497172701, psnr_best: 5.894759512356067
24-07-19 01:30:20.121 : iteration: 76, psnr: 5.899659034027783, psnr_best: 5.899659034027783
24-07-19 01:30:20.150 : iteration: 77, psnr: 5.894604742982397, psnr_best: 5.899659034027783
24-07-19 01:30:20.178 : iteration: 78, psnr: 5.896437234865363, psnr_best: 5.899659034027783
24-07-19 01:30:20.209 : iteration: 79, psnr: 5.90452260336335, psnr_best: 5.90452260336335
24-07-19 01:30:20.238 : iteration: 80, psnr: 5.902336472113739, psnr_best: 5.90452260336335
24-07-19 01:30:20.267 : iteration: 81, psnr: 5.899654236114332, psnr_best: 5.90452260336335
24-07-19 01:30:20.297 : iteration: 82, psnr: 5.898220910230091, psnr_best: 5.90452260336335
24-07-19 01:30:20.328 : iteration: 83, psnr: 5.90055566142234, psnr_best: 5.90452260336335
24-07-19 01:30:20.359 : iteration: 84, psnr: 5.900228893221576, psnr_best: 5.90452260336335
24-07-19 01:30:20.386 : iteration: 85, psnr: 5.899163581259016, psnr_best: 5.90452260336335
24-07-19 01:30:20.415 : iteration: 86, psnr: 5.905355756094431, psnr_best: 5.905355756094431
24-07-19 01:30:20.442 : iteration: 87, psnr: 5.908243160389626, psnr_best: 5.908243160389626
24-07-19 01:30:20.467 : iteration: 88, psnr: 5.905255665665516, psnr_best: 5.908243160389626
24-07-19 01:30:20.491 : iteration: 89, psnr: 5.901820295803873, psnr_best: 5.908243160389626
